"variable","Chamaecrista_anceps","Chamaecrista_aristata","Chamaecrista_arrojadoana","Chamaecrista_basifolia","Chamaecrista_blanchetii","Chamaecrista_brachystachya","Chamaecrista_burchelli","Chamaecrista_calycioides","Chamaecrista_cardiostegia","Chamaecrista_choriophylla","Chamaecrista_cinerascens","Chamaecrista_confertiformis","Chamaecrista_debilis","Chamaecrista_decora","Chamaecrista_depauperata","Chamaecrista_desvauxii_var_brevipes","Chamaecrista_desvauxii_var_desvauxii","Chamaecrista_desvauxii_var_langsdorffii","Chamaecrista_desvauxii_var_latistipula","Chamaecrista_desvauxii_var_mollissima","Chamaecrista_diphylla","Chamaecrista_distichoclada","Chamaecrista_flexuosa_var_flexuosa","Chamaecrista_kunthiana","Chamaecrista_lagotois","Chamaecrista_latifolia","Chamaecrista_mucronata","Chamaecrista_nictitans_subsp_brachypoda","Chamaecrista_olesiphylla","Chamaecrista_pascuorum","Chamaecrista_pilosa_var_luxurians","Chamaecrista_potentilla","Chamaecrista_ramosa_var_erythrocalyx","Chamaecrista_repens_var_multijuga","Chamaecrista_roraimae","Chamaecrista_rossicorum","Chamaecrista_rotundata_var_interstes","Chamaecrista_rotundata_var_rotundata","Chamaecrista_rotundifolia_var_grandiflora","Chamaecrista_serpens","Chamaecrista_simplifacta","Chamaecrista_supplex","Chamaecrista_swainsonii","Chamaecrista_tragacanthoides_var_rasa","Chamaecrista_tragacanthoides_var_tragacanthoides","Chamaecrista_ulmea","Chamaecrista_venulosa"
0.14,0.0112742836015758,0.00499747937980335,0.0399283136600274,0.0175230401837425,0.00669459599291336,0.00210305534211572,0.0274471308727152,0.0145648832042735,0.0857436530844045,0.0188578953951187,0.00989489778004677,0.024502688654168,0.0204842649870361,0.00862014873118754,0.0103194037408302,0.0389057870902638,0.00653731105739084,0.0322913691752044,0.0120224047747192,0.00720780243770812,0.0423849113390182,0.0299672401740951,0.0263585079174317,0.0296943152452636,0.0957255378172685,0.0653244733594865,0.038472234958575,0.0318850092843341,0.0560689134695188,0.00460373859929916,0.0200793181677669,0.0856199706905683,0.0150095394539257,0.00867342337414663,0.00724356738667842,0.0988500003214313,0.00208395464761485,0.0733359362864896,0.0120052087218443,0.00863581395185242,0.0645136192346416,0.0241117093152798,0.00150100212966235,0.00396389274460099,0.0513271651908108,1.42372920064733e-07,0.0071584548232323
0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19,0.00250293662192936,0.000614608204047643,0.019402485200298,0.00571351248627894,0.00190149665767956,0.000407326174885201,0.00793042656289748,0.0049930705797208,0.0245472854481576,0.00521431852177973,0.00208479223142399,0.00904658906775059,0.00495627631710516,0.00203157358864462,0.00421437889868798,0.0188569130973016,0.00188912205674611,0.0111258737018299,0.00399262931082052,0.00212469577460421,0.0240482984036018,0.0125511538593288,0.011924624957481,0.0111837338285803,0.0529423697775858,0.0227848497447134,0.0176132807451928,0.0106409601045397,0.0190071421274595,0.00122306389225311,0.007315742136988,0.032588109349249,0.00379109620621588,0.00279093299852024,0.00215634668558383,0.0344933308130035,0.000213255327056455,0.0244279574976683,0.00488663961488111,0.00257019169583315,0.0228850741191288,0.0095673403589881,0.000281043986249998,0.000698274854496796,0.0175857396091644,8.38185008621498e-10,0.00200462986155977
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
