"variable","Chamaecrista_anceps","Chamaecrista_aristata","Chamaecrista_arrojadoana","Chamaecrista_basifolia","Chamaecrista_blanchetii","Chamaecrista_brachystachya","Chamaecrista_burchelli","Chamaecrista_calycioides","Chamaecrista_cardiostegia","Chamaecrista_choriophylla","Chamaecrista_cinerascens","Chamaecrista_confertiformis","Chamaecrista_debilis","Chamaecrista_decora","Chamaecrista_depauperata","Chamaecrista_desvauxii_var_brevipes","Chamaecrista_desvauxii_var_desvauxii","Chamaecrista_desvauxii_var_langsdorffii","Chamaecrista_desvauxii_var_latistipula","Chamaecrista_desvauxii_var_mollissima","Chamaecrista_diphylla","Chamaecrista_distichoclada","Chamaecrista_flexuosa_var_flexuosa","Chamaecrista_kunthiana","Chamaecrista_lagotois","Chamaecrista_latifolia","Chamaecrista_mucronata","Chamaecrista_nictitans_subsp_brachypoda","Chamaecrista_olesiphylla","Chamaecrista_pascuorum","Chamaecrista_pilosa_var_luxurians","Chamaecrista_potentilla","Chamaecrista_ramosa_var_erythrocalyx","Chamaecrista_repens_var_multijuga","Chamaecrista_roraimae","Chamaecrista_rossicorum","Chamaecrista_rotundata_var_interstes","Chamaecrista_rotundata_var_rotundata","Chamaecrista_rotundifolia_var_grandiflora","Chamaecrista_serpens","Chamaecrista_simplifacta","Chamaecrista_supplex","Chamaecrista_swainsonii","Chamaecrista_tragacanthoides_var_rasa","Chamaecrista_tragacanthoides_var_tragacanthoides","Chamaecrista_ulmea","Chamaecrista_venulosa"
0,0.0019413509439262,0.0417884711860264,0.00226178758076535,0.00249609286261601,0.0041626550534676,0.0311781923597552,0.00163569615395758,0.112332138383617,0.0106466399523552,0.00872137665159272,1.93982903143148e-05,0.00187033246772125,0.000251421461674723,0.0375473427427072,0.041760332182982,0.0203781603896652,0.00766214117735167,0.0109643243015099,0.0106488008789148,0.0163348433682017,0.0271581504913896,0.00294372976693676,0.0324264929963084,0.0120581983420419,0.00148004837698955,8.72812188561596e-07,0.00100303059661122,0.0124601717887388,2.10565951653017e-05,0.0470000616437498,0.0827011976547851,0.00012289625664724,0.000795876920422677,0.0408389794544715,0.0222244844707662,1.69277805914069e-05,0.00128769129803103,1.48604207704637e-05,0.0183847858170011,0.060141501709583,7.49013295478839e-05,0.0249510728491446,0.0478596492886488,0.0514190288713146,6.85247611282083e-05,0.0537253087720826,0.0390897319091217
1,0.011883931164237,0.00743328271143275,0.00333186441554666,0.00500493701665583,0.00285274470904652,0.0147855901551773,0.00323020914573453,0.0125292528269742,0.0186234245749629,0.0177739844804929,0.000111041595409029,0.00183564032037638,0.00840938350781025,0.0159423356122222,0.0149925524333832,0.00818311203005362,0.00439472590537545,0.00705684229244861,0.00664380955942466,0.00735113667899352,0.00263987403518948,0.00142978875026665,0.00767635887818028,0.00386839055463476,0.010529088571036,3.8379905516635e-05,0.00153099305279709,0.00435571383572851,0.00175702537057785,0.0191857771534658,0.0167104406561668,0.00731484321626277,0.0048259660620506,0.0113215077491874,0.0199031689304008,0.00374225459128913,0.00562767849228599,0.00207036011801658,0.00608929700163579,0.00933970789814904,0.0103435326833568,0.00715272456641657,0.00985267854750149,0.0147187684261844,0.00244961405041745,0.0230908211426106,0.0108449661747944
2,0.0119984786997352,0.00264388004758305,0.00330932312314369,0.0069886718264007,0.00269196260683696,0.00988455995908642,0.00584811115180866,0.0149340949640364,0.0170557705120547,0.0192718877969805,0.000121508042988346,0.00208197859147152,0.00595327497587366,0.0118050039913948,0.00966802333477898,0.007813862890403,0.00530942417960351,0.00594381538738336,0.00609608708600314,0.00709170695518791,0.0027766300825741,0.00122809507315336,0.00665163262497725,0.00515000787165319,0.00981727889604937,3.0944775899633e-05,0.00111828585589494,0.00580864893142529,0.00141735926196067,0.0141015380473279,0.0186217109895717,0.00747415842336499,0.00497080627982867,0.00905325206208483,0.0204949792292399,0.00141284151711069,0.00632447580670873,0.000979946913441702,0.00446313019034556,0.0132266681543962,0.00657917632174227,0.0246453234046225,0.00754450401504563,0.0119826727036664,0.00138312585446943,0.00521084753158945,0.0081546908359227
3,0.0122468821070135,0.0139525218383137,0.00707038095713849,0.0103800268948361,0.00589654097666387,0.0174461012830905,0.00869687900512895,0.0245853368197357,0.019509399327187,0.0143837235555516,0.000263751329047944,0.003987056190157,0.0101707881841028,0.0219335820369588,0.00975827234788387,0.0103573831850055,0.0101929758609545,0.00861660367138283,0.00986076730072548,0.0109537324321957,0.00559789959399449,0.000670600801710189,0.00995864001023645,0.00995431572663329,0.00833864907429178,4.76375550444345e-05,0.00189896953705362,0.0110383547736221,0.00240011652434526,0.0212599214806174,0.0264707962082753,0.00518373545086578,0.011680227151901,0.0145135762032354,0.0365993379437127,0.00202981004657247,0.0123596695623386,0.00153737691230375,0.00763890033593905,0.0199768766435438,0.00861510079541293,0.0390379500425526,0.0100483359533553,0.0232683064366414,0.00242531885519883,0.0258374474324116,0.0109547771059536
4,0.0138811254760923,0.0178041077138461,0.00714604902752108,0.0143847106667829,0.00565225735159092,0.0179012069737329,0.017291522712588,0.0287532261520765,0.0186808274604395,0.0146874604280084,0.000358996365438204,0.00438235624499343,0.0128197095086416,0.0223585657510655,0.00708542136613016,0.0112049559362413,0.0117064890582456,0.00851519402280496,0.0105449976464877,0.0126652504460396,0.00646576889248677,0.000763032937820349,0.0104858242302477,0.0124831751016477,0.0106237172264294,6.83958832503747e-05,0.00320210063619243,0.0139133996819,0.00409325015480562,0.0246976611966248,0.0274199491402461,0.00783181938678752,0.0158693420135102,0.0172720452763252,0.0467634487163813,0.00109625958430806,0.0155271179934985,0.00174065261400539,0.00808642053238944,0.0218481982516276,0.00739993176455793,0.0434384800759446,0.0102970466690139,0.0283659193721171,0.00177826806209468,0.0265593013011588,0.0104566765014686
5,0.00962467571451589,0.01930014925522,0.0091721278428742,0.01481231520991,0.00654032208299752,0.0199779377879504,0.0266451571817243,0.0305405506090311,0.0150972095163687,0.0106932847117301,0.000355918149210009,0.00580843812333451,0.0113418488775786,0.0196731544663151,0.00832306148259402,0.0117155487146781,0.0131832922128724,0.0085539773251412,0.0117385314587408,0.0151097177523,0.00751171838747085,0.000677104843385582,0.0113583824806806,0.0137354258766031,0.00781755268506664,6.023183427192e-05,0.00242505512384559,0.0153166347732444,0.0035142626342422,0.026704211101593,0.0279215126519949,0.00515143596248105,0.0163122323641724,0.0194740369240162,0.0508453381403488,0.00221738226256901,0.0143736830082632,0.00245114217755748,0.00957533069498911,0.0225629165147164,0.00967279555136061,0.0429453688763514,0.0115092864103139,0.0253856881567976,0.00398749558129576,0.0205513126178687,0.0128325196437521
6,0.0068241428422815,0.0213136508055661,0.00766342748640635,0.012538849913905,0.00566010380015149,0.0162336569630369,0.0281022263866013,0.0333340581542972,0.0110928660370692,0.00751006614241061,0.000384528622799777,0.00403616428880168,0.0113727072549412,0.0161620181682558,0.00575417845809174,0.0107646307950913,0.0124003239438817,0.00872526734679741,0.0113727644968887,0.0125513217918509,0.0104771799594108,0.000444087012239297,0.0111846037303145,0.0140396756334845,0.00890573736102468,6.51868601609152e-05,0.0037876033692983,0.0150761685027858,0.00406801865165534,0.024299228214181,0.0277539964563952,0.00586296224877385,0.0149451710331374,0.0179223476265055,0.0389228951709211,0.00192776432076664,0.0127083855619626,0.00261708260580223,0.00999640999531185,0.0218221174371744,0.00981276957715835,0.0449918376069899,0.0111107877071306,0.0261256127889101,0.00445034753813264,0.0233323259924817,0.0100744412542034
7,0.00516059233277832,0.0245668458453513,0.0071423050567609,0.0104659346419209,0.0056128014145209,0.0135920011016956,0.0324377697052431,0.03539196843838,0.00922411096791255,0.00683651316712007,0.000592817820726957,0.00305424643522932,0.0109313516263325,0.012552990327583,0.00541413575106583,0.0106301417157492,0.0125317090993416,0.00821973691070948,0.0103966779038023,0.010577211254457,0.0131989308253472,0.000522778894561888,0.0118444246675668,0.0141749573006623,0.0153897164423736,0.000118752551140658,0.00528131514950666,0.0133774545284365,0.00395542725594183,0.0231120317286592,0.0287597351109403,0.0058555731480097,0.0126274415058782,0.0180521180381096,0.0301878407963535,0.00366564763168649,0.0113586826126953,0.00287664941157562,0.0113838732176426,0.0211073577316256,0.0118855264960795,0.0443128625910534,0.0118045303119339,0.0242485247341112,0.00638035844216319,0.0238525085516958,0.00885944009578702
8,0.00249783091994485,0.0227973848098558,0.0081847284145798,0.00857331055108722,0.00663705807144255,0.0150348865692796,0.0232838100139485,0.0416637524584367,0.00576319286945987,0.00579005593051166,0.000566047896608564,0.0038890086186396,0.00923045975206231,0.0133170047312688,0.00535265972901272,0.0120050416035512,0.0138532788725958,0.00709357588820915,0.00836434517910991,0.0104045997758997,0.0151582426489305,0.000894608624420006,0.0121979461488322,0.0163379197841755,0.0107114606781284,0.000146230723514875,0.00473590508506651,0.0136061057037528,0.00230497929463832,0.024290253286538,0.0320103814562765,0.00246970631782815,0.0107354330396,0.0193111183045668,0.0299932368378204,0.00286520513614117,0.0126795235359494,0.00212113694986935,0.0126232279452667,0.0233576818291252,0.0114961706722084,0.050673139543228,0.0117274506078119,0.02504394068724,0.00923816456575402,0.0209351338798001,0.00864370864980153
9,0.00193322666598211,0.0167716410269818,0.00689439254412192,0.00890741080504717,0.00608997647905563,0.013105554229479,0.0275699701138117,0.0443053142521147,0.00447081477665028,0.00573420537769862,0.000792133687092185,0.00302960421287745,0.00928184847406614,0.0108608695388262,0.0044467939716615,0.0109202204220655,0.0133874486374143,0.00670464638495864,0.00762465820426749,0.0089298881744279,0.0157897645058901,0.000717356827416236,0.0118574485434075,0.0173003580670932,0.0157475418832202,0.000294264006318764,0.00576020534688209,0.0129000309918754,0.00220016193515853,0.0235118761443944,0.0313420396073702,0.00212788864250222,0.00985786211310736,0.0188602654680241,0.0250199628051728,0.00471560776135959,0.0125807497482592,0.00263358155897986,0.0132621800003639,0.023550468384209,0.0162754270359579,0.0485629037452887,0.0124475814315094,0.0227142526302346,0.0146376813172178,0.0132221916073691,0.00690149882564339
10,0.00154790187448763,0.0147592098666771,0.00617894869722026,0.0103508653751346,0.00607013707323983,0.0116216060371202,0.0253448749828449,0.0392190235604883,0.00359123783612129,0.0055899588712498,0.000993913198508939,0.0029889110212895,0.00787211512369536,0.00921275915071753,0.0045989857108159,0.0108395696635142,0.0137321309959257,0.00626692674472293,0.00639249532789635,0.0087431519380781,0.01505215553623,0.000642690084615132,0.011707496318439,0.0197841692977402,0.0116684302481422,0.000746453711784612,0.00438285208125084,0.0124205744989656,0.00207609626338929,0.0213436455047225,0.0285940377256559,0.00164985795057334,0.00858014508912669,0.0174514340166511,0.0218796962232858,0.00244788532746548,0.00986575627215153,0.0020110724309439,0.0131029146097933,0.021233050546377,0.0111022529372632,0.0414673223343843,0.0116586754494811,0.0149106754532206,0.00493280076207356,0.00986748837972686,0.00650908941031912
11,0.00246414634688046,0.0147412525647766,0.00559114584127013,0.0142185820687074,0.00607710401750221,0.010585854083187,0.0357999479056954,0.0368180254781802,0.00364771068406687,0.0076301466194129,0.00186190063613327,0.00242706580767719,0.00911536375796534,0.0109777329329096,0.00437709206755956,0.0113478859445831,0.0148562037990872,0.00751164110694928,0.00664171733264873,0.00937922528070145,0.0156135322445552,0.000601643338628361,0.0126828005254777,0.0222771030560598,0.0136357500893341,0.00213741510788838,0.0044957299253313,0.0136214836555168,0.00346289421545426,0.0200350787363315,0.0270975964907438,0.0029703626934516,0.0112079803230164,0.0171811294304684,0.0199159258393662,0.00412846435074904,0.0100503143517424,0.00304464401591065,0.0133660425560411,0.0203133275139472,0.012506547299067,0.0379362860485291,0.0123109481771932,0.0172074357118258,0.00935879266249144,0.011582785445938,0.00584778920611118
