"SIMMAP","BM1_AICc","BMS_AICc","OU1_AICc","OUM_AICc","OUMA_AICc","OUMV_AICc","OUMVA_AICc"
1,86.8403777937896,81.3879074921955,58.1341349907946,62.8810243465336,73.3181427438455,69.32054774018,NA
2,86.8403777937896,88.7265793472132,58.1341349907946,61.425088364577,NA,72.6258414825355,NA
3,86.8403777937896,81.880465253338,58.1341349907946,62.8841925825498,NA,66.3631716923975,NA
4,86.8403777937896,79.5474228865021,58.1341349907946,62.2823632744255,NA,62.4428595129347,NA
5,86.8403777937896,82.4444826088659,58.1341349907946,62.8810317416989,72.5800260637643,70.1026439597122,NA
6,86.8403777937896,80.642429878344,58.1341349907946,62.8397822697785,NA,68.575754372555,NA
7,86.8403777937896,84.272274660355,58.1341349907946,62.8376034331049,80.0776474045468,75.2720927674954,NA
8,86.8403777937896,80.2284302395238,58.1341349907946,62.8831392763581,NA,70.2437755833041,NA
9,86.8403777937896,84.3641188881614,58.1341349907946,62.8810189395493,NA,NA,NA
10,86.8403777937896,75.2082380364435,58.1341349907946,62.9049514020542,80.7381527565031,69.3408390819409,NA
11,78.8676486350071,68.9171097064374,58.1339484940619,62.8817184619841,77.8954456027046,70.9060830758554,NA
12,78.8676486350071,78.6608547378804,58.1339484940619,62.9093562128878,NA,72.8880461722413,NA
13,78.8676486350071,75.1069696556231,58.1339484940619,62.8805890655627,75.7597825424727,67.6898965691498,NA
14,78.8676486350071,78.3381067462511,58.1339484940619,64.0166316123642,NA,70.7734251540287,NA
15,78.8676486350071,75.5717037929536,58.1339484940619,62.2328874346458,72.2495007180719,67.8129471237413,NA
16,78.8676486350071,76.0360731703565,58.1339484940619,62.8931410246531,76.2328016098693,69.7278574091382,NA
17,78.8676486350071,79.6071050685376,58.1339484940619,63.6826830739847,NA,71.4733614096564,NA
18,78.8676486350071,79.1041403344756,58.1339484940619,60.054045000776,NA,69.2084210578789,NA
19,78.8676486350071,77.0320700012808,58.1339484940619,62.8598392968101,NA,69.4650048070766,NA
20,78.8676486350071,77.0045640172868,58.1339484940619,60.9782295574987,NA,66.5846308053851,NA
21,79.1151695838922,72.3324448861381,NA,62.8000201971198,NA,68.2694613014027,79.8483670180512
22,79.1151695838922,79.4795599563855,NA,61.8887758689277,NA,68.9312790554001,74.2700900874417
23,79.1151695838922,73.2148894954728,NA,62.7488740630748,NA,67.1694576047732,NA
24,79.1151695838922,72.7492476465051,NA,62.3996776829447,NA,73.3560864729398,NA
25,79.1151695838922,68.0336545051022,NA,62.5463262685847,75.7961264716236,66.0818732435421,NA
26,79.1151695838922,72.3938409249295,NA,62.8801810291612,78.208952730693,72.1730911700076,NA
27,79.1151695838922,72.2989618903254,NA,61.4142846256943,NA,67.4288579645994,NA
28,79.1151695838922,74.629505202746,NA,62.3897776763484,NA,68.571332384111,NA
29,79.1151695838922,67.6190469551646,NA,62.8755387886272,74.7712703946657,NA,NA
30,79.1151695838922,79.091388261531,NA,61.6004264595841,NA,67.8983804628255,NA
31,91.9246798967624,80.2381630086024,NA,62.2454924541806,75.3139348133339,69.0185486617131,NA
32,91.9246798967624,76.6450117300878,NA,60.7238353056399,NA,74.9957643818981,NA
33,91.9246798967624,83.6162347988768,NA,62.8818818466075,NA,68.7957459033724,NA
34,91.9246798967624,88.3939935777993,NA,62.8873123670156,NA,68.228606398646,NA
35,91.9246798967624,83.7715167522357,NA,63.4074789581955,NA,69.2071182566717,NA
36,91.9246798967624,80.9126747991591,NA,62.8805961834583,71.2547822587374,69.7263322194662,NA
37,91.9246798967624,87.6692382127891,NA,62.6347569703164,NA,68.3527941487557,NA
