"","Chamaecrista_anceps","Chamaecrista_aristata","Chamaecrista_arrojadoana","Chamaecrista_blanchetii","Chamaecrista_brachystachya","Chamaecrista_burchelli","Chamaecrista_calycioides","Chamaecrista_cardiostegia","Chamaecrista_choriophylla","Chamaecrista_cinerascens","Chamaecrista_confertiformis","Chamaecrista_decora","Chamaecrista_depauperata","Chamaecrista_desvauxii_var_desvauxii","Chamaecrista_desvauxii_var_langsdorffii","Chamaecrista_desvauxii_var_latistipula","Chamaecrista_desvauxii_var_mollissima","Chamaecrista_diphylla","Chamaecrista_distichoclada","Chamaecrista_flexuosa_var_flexuosa","Chamaecrista_lagotois","Chamaecrista_latifolia","Chamaecrista_mucronata","Chamaecrista_nictitans_subsp_brachypoda","Chamaecrista_olesiphylla","Chamaecrista_pascuorum","Chamaecrista_pilosa_var_luxurians","Chamaecrista_potentilla","Chamaecrista_repens_var_multijuga","Chamaecrista_roraimae","Chamaecrista_rossicorum","Chamaecrista_rotundata_var_interstes","Chamaecrista_rotundata_var_rotundata","Chamaecrista_rotundifolia_var_grandiflora","Chamaecrista_simplifacta","Chamaecrista_supplex","Chamaecrista_swainsonii","Chamaecrista_tragacanthoides_var_rasa","Chamaecrista_tragacanthoides_var_tragacanthoides","Chamaecrista_ulmea","Chamaecrista_venulosa"
"Chamaecrista_anceps",NA,0.350722230646958,0.790917304736961,0.494256669533281,0.63032747218612,0.22849689768296,0.449692724317301,0.73938945622195,0.764389233589924,0.807088016988819,0.501159373066848,0.676946045179218,0.436970763179245,0.62229193660207,0.771443201351836,0.608343730777264,0.639851805193153,0.509225987048526,0.468230875119923,0.62099601046654,0.63104293195894,0.869298445227559,0.617221507704221,0.678693961875991,0.756073626149073,0.579345396836471,0.53171245987963,0.821790704732543,0.618619269083541,0.515337528585064,0.667686861996345,0.772984740020429,0.670983820720718,0.544262136111286,0.405587277163122,0.442314353755366,0.534533099396327,0.54254942500092,0.618637213997179,0.36597414039199,0.700955107967332
"Chamaecrista_aristata",0.708306052985633,NA,0.342666893725452,0.30653830984684,0.486171631102305,0.799815915674208,0.605746008090128,0.394123978304305,0.526206305874723,0.280948618889988,0.214439840921244,0.638625178181265,0.323977695181985,0.526910636230093,0.519286321597658,0.415422996778733,0.489270493255616,0.449084747871088,0.234775741599672,0.500436598478541,0.599824397033136,0.313612989734474,0.278078162721497,0.619660290486207,0.411087726382267,0.567881692911474,0.59946043610414,0.388143994610132,0.561490337242504,0.546392501788275,0.391645786497732,0.541322571320192,0.394093966802388,0.418581980825644,0.667419603222575,0.59329084096593,0.433379971712467,0.70142043049989,0.409425657243036,0.868268401987483,0.421292650564592
"Chamaecrista_arrojadoana",0.929107941212704,0.686362107570538,NA,0.678508979175615,0.744741952030934,0.234305154540466,0.475133847950938,0.794631407973926,0.658583673774607,0.799757457918134,0.648216773160695,0.579687184429109,0.58719786095152,0.735820573808304,0.779063253341777,0.758354098213968,0.774272976424214,0.686061525787845,0.367081432699975,0.747314917068471,0.529929854929884,0.729058919357317,0.773328153833135,0.693367418122185,0.639559489043046,0.668440247063057,0.577882603863759,0.695531886084069,0.703716277101349,0.576373495725365,0.558529706833998,0.671775608935768,0.55334472876656,0.707589232968449,0.316787392949951,0.473154171645565,0.687275648080496,0.431021703407691,0.525965392340415,0.364611295928523,0.814371562911755
"Chamaecrista_blanchetii",0.765594500153115,0.612695855261511,0.911441282540092,NA,0.731186063400136,0.209502665603982,0.437308359277145,0.660536526184543,0.470715172988551,0.546691912452299,0.767154491890192,0.41992275385409,0.754772728167121,0.711172393354897,0.561765028838272,0.786779275746235,0.718463484710111,0.79290855659163,0.362187252456897,0.722807708883506,0.357635008345665,0.427805235933656,0.788751869722765,0.528077383667028,0.386280452931137,0.633694302990324,0.512600885502675,0.397384311966109,0.673199973763648,0.553113936362349,0.359383842123582,0.457580044288288,0.36706991612261,0.836108824696065,0.243738955544581,0.429949580269315,0.825082431379396,0.344291194096148,0.385266760185686,0.351945804657325,0.718823675341901
"Chamaecrista_brachystachya",0.890209987125639,0.783166237465776,0.955579580578297,0.927384602730754,NA,0.34660895406802,0.636515584649382,0.825472048747964,0.653188345211583,0.643772555930453,0.672142353981198,0.658219280196035,0.659785993602402,0.836770702187462,0.728151025111125,0.820521206857973,0.843690586445891,0.796161473411815,0.386850178645566,0.862063763462959,0.52935686958481,0.539436264203765,0.744682099348012,0.734084662143702,0.511789242701791,0.833932882525778,0.733652521344203,0.526319153282921,0.898963466111244,0.734707329719362,0.477793230589897,0.647880576947371,0.479219170989473,0.845368917668885,0.373141701267427,0.622576790722537,0.827661625018875,0.556191400506669,0.488986364255824,0.541267839820893,0.846329943790301
"Chamaecrista_burchelli",0.525815200660034,0.937396955362174,0.517418925363806,0.459700760481911,0.614471700865064,NA,0.541195982416963,0.271467456127411,0.396775274888432,0.167832358729995,0.120454243213356,0.486554475596675,0.187489382644321,0.412066342073844,0.393032382461423,0.299712821709077,0.364556997656636,0.323259901176611,0.129383429592258,0.359943433980104,0.522908369275754,0.197474566379198,0.174646252371864,0.494475078647305,0.30616799431514,0.447177795821963,0.504242834067074,0.286525333024065,0.4168942256427,0.463021919277797,0.30203371112451,0.421860309894478,0.297648447279453,0.303986251939756,0.600613450209867,0.547649632366085,0.294177632630572,0.578979684544091,0.317203232144637,0.743002866872731,0.270607816939581
"Chamaecrista_calycioides",0.776808017435846,0.887941968549922,0.814588476723815,0.756002059832886,0.90562302149279,0.791325227534008,NA,0.547829549067701,0.537495699387415,0.389054048713081,0.338781303378979,0.653037719300648,0.438205265532809,0.641705199819223,0.577383674550173,0.550500822037832,0.611612580233125,0.584546495839141,0.29450266109794,0.633718812650002,0.545352896974609,0.394794018906083,0.410367124729383,0.661918847913127,0.428862640393413,0.768744011149525,0.88678780663708,0.426599812842653,0.711732350659338,0.778440210020018,0.398603073019361,0.559271016979433,0.402066051234812,0.551338336172354,0.42017589828995,0.888433226472626,0.572154694097364,0.714007025477052,0.421220950954858,0.620068480997271,0.560005881329901
"Chamaecrista_cardiostegia",0.936956595571933,0.733343745216394,0.96374558875348,0.910385053683288,0.973826950946285,0.546531752781764,0.841717733308363,NA,0.659269513638056,0.769479040190931,0.637836784176798,0.604091771471381,0.579323240019878,0.770713564967926,0.764888105056047,0.768674957257601,0.783584149261189,0.675041490339742,0.382910111578101,0.778090664149747,0.493684028399444,0.664867835556277,0.77341005516743,0.698313673123515,0.557505786216165,0.734086726968661,0.651043670061066,0.634172949269695,0.79329623712253,0.652430096345205,0.522392935143333,0.628289144778048,0.517498484741638,0.736189419941116,0.330669998916925,0.541486364782754,0.712854460342748,0.484063247557744,0.533582769840749,0.452943674522703,0.800052130898678
"Chamaecrista_choriophylla",0.95619394423822,0.85087357457877,0.871725590463834,0.714854776321985,0.873230287489279,0.712021398604273,0.847777751148793,0.896371268166381,NA,0.619974347365021,0.413328002262789,0.847682689084438,0.407884848239519,0.667877205757835,0.824116456077979,0.628104790432974,0.691146565106907,0.534091150838788,0.41587190164805,0.659506572032353,0.818052090369848,0.722002390062079,0.507360249567725,0.788377728506439,0.812920969172483,0.630846437577442,0.611200741749896,0.773311980211196,0.647736187438902,0.603177711055427,0.762316924664394,0.901199871887875,0.772246543404166,0.54479844082439,0.58130718812365,0.529227835325736,0.534452213664112,0.716750863597158,0.683790191097587,0.515138404970799,0.689341991652078
"Chamaecrista_cinerascens",0.954431534921805,0.628911824805622,0.945031074178985,0.809781830944674,0.873974407142434,0.432874409351371,0.695188132489996,0.919859936828091,0.875862223605638,NA,0.563805498618733,0.538146688701621,0.451437170666985,0.623562751378975,0.720172817111173,0.611589108951225,0.629352871719648,0.537623083192595,0.42181428506125,0.618080708594229,0.489173882281003,0.83669777452349,0.684936116385104,0.619726636331493,0.640019440465861,0.547698470140123,0.48158350737103,0.754668087066619,0.627249340165462,0.464396449218895,0.559030522376917,0.625755018939166,0.560324626888193,0.592813990311989,0.279326166782657,0.389465379060831,0.5614717673062,0.392240449349489,0.533303866535745,0.312896335945848,0.694400242599447
"Chamaecrista_confertiformis",0.79759176992164,0.535026240138159,0.919674810345667,0.937583431560509,0.916299837249825,0.336023685586346,0.687001780263587,0.905533076978172,0.69871467699707,0.866497123836175,NA,0.342731257835226,0.716141105914853,0.5949675537636,0.521270714167052,0.649293653545835,0.617334924386573,0.623142805250888,0.373527466606346,0.608971596476829,0.280103904495971,0.431296340988693,0.813474484335009,0.468182785863334,0.361393358126241,0.535679911154511,0.419068349212776,0.381584541850538,0.604535748295668,0.446601213086224,0.33406335423959,0.394854330638117,0.338649203110757,0.712102342178814,0.15247388364571,0.331709440915705,0.659049670139761,0.245822343259286,0.344081091091905,0.265488283445496,0.660555129356171
"Chamaecrista_decora",0.915990400987585,0.911005131131269,0.852826493355059,0.707654713419781,0.883081905643457,0.786907555031966,0.914400376394205,0.877265723077986,0.979982112351141,0.821106781604979,0.667628571912027,NA,0.404813181055281,0.674980773362322,0.782730075691426,0.594290790693428,0.690405870293021,0.56345721104171,0.400771671851239,0.669554610987509,0.836513093795896,0.629476591600537,0.437528861236163,0.820601877699917,0.730286981000095,0.684607308448764,0.705266685908537,0.708874595972265,0.680880328294541,0.669701748953488,0.699751616768851,0.865111042638175,0.709304663934826,0.524360334434069,0.632388796141311,0.627743405695553,0.536140642956577,0.83477741578116,0.63540323707419,0.629733995199853,0.664708241694637
"Chamaecrista_depauperata",0.717910039277647,0.596074758502147,0.882704363622916,0.932618029002011,0.918278676271981,0.43129839498329,0.763387573156224,0.868143920796232,0.670602167564173,0.749608122869203,0.935288421521152,0.68585359435282,NA,0.590594620077978,0.483871106075204,0.666393619988185,0.635161515828432,0.703795240759885,0.331463584945902,0.631615512486975,0.30246029009071,0.338155975355405,0.706546362971516,0.459095787226768,0.309815637593159,0.588577559539239,0.500655227531539,0.327941341861828,0.61390839932918,0.490915437127431,0.285033848352327,0.385942818962313,0.295885953826021,0.686148642641577,0.22814508694713,0.411150430481847,0.722450707007395,0.356411348391233,0.319304328365488,0.368721248833457,0.680317812339617
